gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
MIXL1	c3	5.886450734716097	-0.04953302247571242	0.050807674693947646	45	233	38	316	48
FOSL2	c2	3.121113138600912	1.7223631017374283	0.4221655042006276	37	22	281	340	48
JUNB	c1	1.8598748443832998	2.0265488559750655	-0.5528860917288974	106	11	237	354	48
EBF1	c3	5.371612326771086	0.8381950239017	-0.19964018865304833	51	58	207	316	49
GLIS3	c2	-1.7569278525151102	1.0216001580890492	1.2831259851418437	270	51	20	341	49
ERG	c1	5.346736483783545	-0.004629523186674703	-0.42257262777039806	21	192	144	357	49
DMRTA2	c3	0.7624129785939967	2.2197538517245303	-0.0688433635316752	224	16	79	319	50
NFE2L1	c2	0.9451875390924148	2.7524376675187616	0.4553775259738142	94	9	238	341	50
BATF	c1	2.1447255233143183	0.385396721580391	-0.47975931660939963	95	79	183	357	50
FOXD2	c3	7.616545879134669	-0.12228744886487271	0.04764570759639675	27	254	40	321	51
VEZF1	c2	-0.269796487292201	0.3259493024121958	0.7036891360650026	163	118	67	348	51
KLF3	c1	3.2484558883184573	0.1011299746495762	-0.4492589118473065	60	141	159	360	51
TGIF2LY	c3	6.925061683499061	-0.05133082960202641	0.0017401301239257094	37	234	50	321	52
SMAD5	c2	0.2950304104814301	1.0284359004617272	0.5279173238253136	129	50	169	348	52
ETV4	c1	2.2203524248007476	-0.01766550255318977	-0.30622321293956567	93	209	63	365	52
ATF2	c3	4.678623878272107	0.7585712779799979	-0.18613156879889736	64	71	190	325	53
E2F4	c2	-0.14875139544918356	0.3347983436976	0.6683342795855189	155	116	79	350	53
E2F4	c1	1.3154999155291718	1.3855959987032822	-0.5093942848117479	128	25	212	365	53
TBR1	c3	2.9243150764954082	0.06717184801637	0.005104497681642783	109	168	49	326	54
ZNF460	c2	0.4723510674711481	1.4634689920714126	0.4880857697220593	123	27	204	354	54
DUX4	c1	0.8002164780578851	0.2211141187035758	-0.3752365535770217	154	112	100	366	54
