gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
PAX9	c2	-1.0013486045792641	-0.5751652011257522	1.4636440097220422	118	191	3	312	91
NR2C2	c1	0.5170229291899404	0.025373295707777608	0.010395624529516923	98	105	113	316	91
HES7	c3	2.0381866407358125	-0.034144161854696466	0.016303635031929886	84	132	108	324	91
HNF1A	c1	-1.1830016073250142	0.28637151429482116	0.02558901131968483	157	60	101	318	92
CEBPG	c2	1.0618627942101724	0.18011562024957234	-0.10261757911656488	52	80	187	319	92
CDX2	c3	0.9292355283379703	-0.25825904271585226	0.1298696529676775	118	168	39	325	92
MTF1	c1	1.518674521022338	0.017084510472243936	-0.023382827395463934	74	106	138	318	93
RXRG	c2	-0.7761034889023475	-0.07718920140850745	0.04845998378479699	107	144	70	321	93
JDP2	c3	-2.032647362393156	0.13932113357689252	0.076564874293096	190	80	56	326	93
FEV	c1	5.661040703351933	-0.6551920284241949	0.023332747692650813	14	203	103	320	94
RUNX3	c2	4.842970449790114	-0.2771045275383188	-0.02177951896458552	9	168	144	321	94
SOX4	c3	2.148709120921449	-0.024713374894347915	0.0069908575973016696	80	126	122	328	94
MYBL2	c2	0.16337991198545268	0.36197241375204076	-0.08691400655723669	82	57	182	321	95
SP2	c1	0.48156538636245455	0.1303079309785414	-0.028794221219593297	100	82	143	325	95
E2F6	c3	3.3195606477034927	-0.030390832327488355	-0.01236584704197341	56	129	143	328	95
MNT	c2	-2.168469069631943	0.4331493267803136	0.024225438047132286	167	55	100	322	96
MYBL1	c1	1.1699683102892597	-1.4345402220891366	0.40870841559626925	82	232	13	327	96
MAX	c3	1.3639497337805604	-0.14414518570108903	0.03654796539156635	101	150	82	333	96
HOXB13	c2	0.22166240494318806	0.26774722941899226	-0.07687156279290619	81	67	176	324	97
CUX2	c1	1.1651611417852274	-0.4129681648561278	0.06918890903043362	83	181	63	327	97
ONECUT3	c3	3.470730027583228	0.2559051527797957	-0.10420059969614215	51	66	216	333	97
ETV5	c2	0.32879706369534456	0.07498460768349478	-0.03166862747635335	76	98	153	327	98
SREBF1	c1	-0.2023218575168878	1.307165466660882	-0.08874937722949383	120	17	197	334	98
GLIS2	c3	1.9678833709602657	0.9788458264337309	-0.1326094968564604	85	29	224	338	98
MEF2A	c2	0.8200866137118754	-0.9303976589189679	0.05563621998683921	61	207	60	328	99
PHOX2A	c1	-5.361737568460393	0.09632666269519562	0.17080874724740802	222	88	25	335	99
MAFK	c3	2.995264949665353	-0.07549056990019848	-0.00813583575311938	60	140	140	340	99
NR2C2	c2	-1.679820593564528	0.14342680944471695	0.025956732375313152	146	84	98	328	100
TEF	c1	-0.9010953926281305	-0.3605238452700846	0.2900233421912084	146	176	16	338	100
